entity_id,region,confidence,rationale,source_id,review_status
ENT_HEBRUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HECATE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HECATE,crossroads/household thresholds,B,Promoted from v0.1 places table: cult setting.,SRC_THEOI_UNDERWORLD,seed_pending
ENT_HECTOR,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HEDONE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HELEIONOMAI,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HELEN,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HELIOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HEMERA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HEPHAESTUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HERA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HERACLES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HERMAPHRODITUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HERMES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HESPERIA_HESPERID,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HESPERIDES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HESPERUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HESTIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HIMEROS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HIPPOLYTUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HIPPONOE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HOMONOIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HORAE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HORKOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYACINTHUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYBRIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYDROS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYPERION,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYPNOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_HYSMINAI,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IAPETUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IDAIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IDYIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ILISSUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_INACHUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_INO_LEUCOTHEA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IOKE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ION,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IPHIGENIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_IRIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ISMENUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_JASON,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KAIROS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KAKIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KALLIGENEIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KER,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KERES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KORYBANTES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KOURETES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KOUROTROPHOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KRATOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_KYDOIMOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LADON,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LAMPADES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LEIMAKIDES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LETHE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LETHE_151,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LETO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LEUCE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LEUCOTHEA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LIMNADES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LIMOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LITAE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_LYSSA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MACARIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MACHAI,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MAEANDER,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MAENADS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MAIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_MANIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
